LAMMPS data file.

4     atoms
2     atom types
0     bonds
0     bond types
0     angles
0     angle types
0     dihedrals
0     dihedral types
0     impropers
0     improper types

-12.00000000 12.00000000  xlo xhi
-12.00000000 12.00000000  ylo yhi
-12.00000000 12.00000000  zlo zhi

Masses

1     16.0000 
2     16.0000 

Atoms

1     0     1         6.00000000     6.00000000    -6.00000000
2     1     2         6.00000000    -6.00000000    -6.00000000
3     2     2         6.00000000    -6.00000000     6.00000000
4     3     1        -6.00000000    -6.00000000    -6.00000000
